pmid,doi,title,journal,pub_year,abstract,pdf_download_status
41083861,10.1007/s10006-025-01477-6,Comparative analysis of insertion torque and radiological texture analysis following sinus lift surgery between allograft and xenograft materials: a randomized clinical trial.,Oral and maxillofacial surgery,2025,"This study aimed to investigate the relationship between insertion torque during dental implant placement and radiological changes in hard tissue texture following sinus lift surgery using allograft and xenograft materials. Directional texture analysis via Gray-Level Co-Occurrence Matrix (GLCM) offsets was employed to assess anisotropic bone remodeling patterns. This randomized clinical trial included 32 adults (≥ 18 years) with ≤ 5 mm residual bone height, randomized to sinus lift with allograft or xenograft. All procedures were performed by one surgeon, with CBCT-based texture analysis (Mazda software) at 6 months and subsequent implant placement. Gray-level co-occurrence matrix parameters were calculated from standardized ROIs. Insertion torque was recorded using a manual torque meter. statistical analysis compared outcomes between groups. Mean insertion torque was higher in the allograft group (45.2 ± 6.8 N·cm) than the xenograft group (32.1 ± 5.3 N·cm; P < 0.001). Allografts showed greater structural uniformity (higher Angular Second Moment and pixel correlation), while xenografts exhibited higher entropy, sum entropy, and contrast (P < 0.001). Directional GLCM offsets revealed anisotropic remodeling patterns: allografts displayed organized vertical alignment, xenografts horizontal variation and multidirectional irregularity. Allografts provide higher insertion torque and improved initial stability by creating a dense and uniform structure, while xenografts show longer-term adaptation to the host bone due to their structural complexity. Directional differences in tissue parameters introduce anisotropy as an indicator of bone maturity, highlighting the need to personalize surgical protocols based on graft material characteristics and radiological patterns.",
40919764,,Does it take more than a static pilot guide to match the accuracy of dynamic navigation? A preliminary randomised study.,"International journal of oral implantology (Berlin, Germany)",2025,"To compare the accuracy of static guided surgery using a pilot drill guide and dynamic guided surgery for dental implant placement. Partially edentulous adult patients requiring implant placement were randomly assigned to either the static guided surgery group using a pilot drill guide or the dynamic guided surgery group. Digital implant planning was conducted using intraoral scans and CBCT with planning software to determine the optimal prosthetic position. Postoperative CBCT scans were taken to compare with the plan and assess platform, apex, vertical and angular deviations from the planned implant positions. A total of 25 implants were placed. Mean deviations at the implant platform were 1.17 ± 0.75 mm for the static guided surgery group and 1.17 ± 0.71 mm for the dynamic guided surgery group, with no significant differences (P = 0.983). Apical deviations were 2.39 ± 1.22 mm for the static guided surgery group and 1.75 ± 0.59 mm for the dynamic guided surgery group, with no significant differences (P = 0.112). Vertical deviations were 0.79 ± 0.50 mm for the static guided surgery group and 0.61 ± 0.51 mm for the dynamic guided surgery group (P = 0.403). Significant differences were found in angular deviations, with the static guided surgery group showing 10.9 ± 5.63 degrees and the dynamic guided surgery group showing 4.72 ± 2.63 degrees (P = 0.002). Independent variables such as sex, age, implant location, arch and implant size did not significantly influence accuracy. Both static and dynamic guided surgery offer comparable precision in implant placement, with dynamic guided surgery providing superior angular accuracy. Further studies with larger sample sizes are recommended to validate these findings. The authors declare there are no conflicts of interest relating to this study.",
40866867,10.1186/s12903-025-06366-8,The impact of mixed reality training method on novice trainees of dental implants: an in vitro study.,BMC oral health,2025,"A novel dental implant training method based on mixed reality (MR) navigation technology was developed. Therefore, the aim of this study was to evaluate the learning effect of this method in novices. We designed and developed an MR-based training method that provides real-time supervision, teaching, and guidance. Thirty novices who had passed a baseline test and had no prior experience with implant surgery were randomly divided into two groups: the MR Group (n = 15) was trained using the MR training method, while the traditional group (n = 15) received training using conventional methods. Each group involved the following steps: (I) pretest; (II) immediate post-test; (III) dental implant training and (IV) retention test. Implant deviations, including platform points, middle points, apex points and axial angles, were measured. Subsequently, learning curves were analyzed, and the usability of the system was evaluated using the System Usability Scale (SUS). After training with both methods, the implantation deviations in both groups were significantly reduced compared with the pretest (P < 0.001). Except for the axial angle deviation in the immediate post-test, all deviations in the MR group on the immediate post-test and retention test were significantly lower than those in the traditional group (P < 0.05). The learning curve results showed that the learning time and learning effect of the MR group (Y = -95.62X + 1499) during the training process were better than those of the traditional group (Y = -77.36X + 1367). The MR group (80.83 ± 4.88) had significantly greater SUS scores than did the traditional group (69.50 ± 5.36) (P < 0.0001). This MR-training method demonstrates excellent usability and can significantly improve the implantation learning outcomes for novices. Compared to traditional methods, it exhibits better immediate and retention learning effects. This approach offers a novel perspective and strategy for developing personalized and efficient implant placement teaching methods.",
40693504,10.1111/cid.70075,Surface Decontamination on the Reconstructive Therapy of Peri-Implantitis: A Multicenter Randomized Clinical Trial.,Clinical implant dentistry and related research,2025,"To compare the clinical/radiographic outcomes and the rate of disease resolution of the adjunctive use of electrolysis (GS) or hydrogen peroxide (HP) for mechanical decontamination in the reconstructive treatment of peri-implantitis-related intrabony defects. A multicenter randomized clinical trial was designed to compare the effectiveness and safety of two strategies for the surface decontamination of crater-like and circumferential intrabony defects subjected to reconstructive therapy. Clinical evaluation was made at baseline (T Overall, 58 patients completed the study. All the clinical parameters/indices, namely probing pocket depth, modified sulcular bleeding index, suppuration grading index, and width of keratinized mucosa, showed a significant reduction (p < 0.001) from T Both tested surface decontamination methods are effective in resolving peri-implantitis, in gaining radiographic marginal bone levels, and in enhancing clinical peri-implant conditions in the surgical reconstructive therapy (NCT05615051).",
40692347,10.1111/cid.70076,Chairside vs Prefabricated Sealing Socket Abutments for Posterior Immediate Implants: A Randomized Clinical Trial.,Clinical implant dentistry and related research,2025,"This randomized clinical trial aimed to compare changes in soft tissue height, probing depth, and buccal contour volume loss following immediate implant placement using either chairside composite or prefabricated zirconia Sealing Socket Abutments (SSAs) in the posterior region. 47 patients requiring posterior tooth extraction and immediate implant placement were randomly assigned to one of two groups: the composite Sealing Socket Abutment (CS) group (n = 24), receiving chairside-fabricated abutments, or the zirconia Sealing Socket Abutment (ZR) group (n = 23), receiving prefabricated abutments. Implants were placed immediately after extraction, using static computer-assisted implant surgery (sCAIS). Supra-Platform Tissue Height (SPTH) and total horizontal tissues (THT) were assessed using cone-beam computed tomography (CBCT) over a 3-month healing period. Implant survival, probing pocket depths (PPD), bleeding on probing (BOP) and plaque index (PI) were recorded clinically, while volumetric analysis was performed using digital impressions. SPTH remained stable from baseline to the 3-month follow-up, with a mean change of -0.17 mm in the CS group and -0.44 mm in the ZR group. These differences were not statistically significant (p > 0.05). THT exhibited significant horizontal shrinkage in both groups over the 3-month period. In the CS group, THT decreased by 1.00 mm, while the ZR group showed a reduction of 1.17 mm (p < 0.001). PPD increased in the CS group from 2.8 mm to 3.7 mm on the palatal/lingual aspect and from 2.5 mm to 3.2 mm on the buccal aspect (p = 0.026). In contrast, the ZR group showed a decrease from 3.1 mm to 2.7 mm palatally/lingually and remained stable buccally at 2.6 mm to 2.7 mm (p = 0.001). BOP in the CS group decreased from 42.3% to 7.7% (p = 0.009), while the ZR group maintained low BOP levels, decreasing slightly from 17.4% to 4.4% (p = 0.346). Both approaches showed comparable outcomes. ZR abutments resulted in shallower probing depths, while CS abutments showed less volumetric shrinkage. SPTH remained stable in both groups. This trial was registered prior to patient enrollment at ClinicalTrials.gov identifier: NCT05748379.",
40360023,10.1016/j.jdent.2025.105814,Accuracy of two static computer-assisted implant surgery systems in partially edentulous patients: A randomized clinical trial using intraoral scan data.,Journal of dentistry,2025,"To compare implant deviations between two static computer-assisted implant surgery (sCAIS) systems in partially edentulous patients using intraoral scan data. Fully guided dental implant placements were planned using two implant systems, Straumann Bone Level Tapered (S-BLT) and CAMLOG SCREW LINE Promote plus (C-SL), with respective planning software (S-BLT: coDiagnostiX; C-SL: SMOP). Intraoperative scans were performed after implant placement and compared to virtual implant positions in Geomagic Control X (GCX) a software for three-dimensional (3D) quality control. Deviations were analyzed in a coordinate system (x-, y-, z-axis) and total deviations (entry point, apex, and angular deviations) were compared. Statistical significance was set at p < 0.0125. Sixty-nine patients received 80 implants placed by 13 surgeons with varying experience in sCAIS. Deviations from 75 datasets were evaluated. Mean 3D deviation at the entry point was 0.64 ± 0.25 mm for S-BLT and 0.75 ± 0.33 mm for C-SL. At the apex, the mean 3D deviation was 1.00 ± 0.40 mm for S-BLT and 1.26 ± 0.68 mm for C-SL. The mean angular deviation was 3.22 ± 2.12° for S-BLT and 3.80 ± 2.81° for C-SL. No significant differences were observed between systems, surgeon experience or implant location (all p > 0.0125). Both the drill-body guided (C-SL) and drill-handle guided (S-BLT) systems provide comparable and predictable outcomes in fully guided implant placements. No system or planning software was found to be superior. sCAIS ensures predictable results in terms of accuracy in implant positioning, compensating for varying levels of surgical experience.",
40298001,10.1111/jcpe.14174,A Multi-Centre Randomised Controlled Trial Comparing dPTFE Membrane to Collagen Membrane in Lateral Bone Augmentation at Single Sites in the Anterior Maxilla: 1-Year Results.,Journal of clinical periodontology,2025,"To compare a dense polytetrafluoroethylene (dPTFE) membrane with a collagen membrane in guided bone regeneration for lateral bone augmentation at single sites in the anterior maxilla in terms of alveolar width, height, complications, need for additional therapy and implant outcomes. Patients with a class 4 defect at a single site in the anterior maxilla (15-25) were recruited at five centres. Following flap elevation and conditioning of the recipient site, they were randomly allocated to the dPTFE membrane group or the collagen membrane group. Nine months following bone augmentation, re-entry was performed and implants were placed. Alveolar dimensions were assessed on superimposed cone-beam computed tomography images taken prior to surgery, immediately post operation and at 9 months. Implant outcomes were registered 1 year after bone augmentation. Thirty-six patients were randomised (dPTFE membrane group: 8 females, 10 males, mean age 39; collagen membrane group: 14 females, 4 males, mean age 51) and all complied until the 1-year follow-up. At 9 months, the estimated marginal mean alveolar width was not significantly different between the groups (estimated marginal mean difference at 3 mm below the crest: 0.65 mm; 95% CI: -0.82 to 2.12; p = 0.381). Infection occurred in 6/18 patients treated with a dPTFE membrane and in 0/18 patients treated with a collagen membrane (p = 0.019). Infection occurred in every centre and had a negative impact on the alveolar width at 9 months, despite taking anti-infective measures in every patient and additional bone augmentation in two patients. Implants could be installed in a prosthetically driven position, integrated uneventfully and yielded minimal marginal bone loss. dPTFE membrane and collagen membrane are both effective in lateral bone augmentation. However, dPTFE membrane is more prone to infection than collagen membrane, thereby increasing the need for additional therapy. ClinicalTrials.gov identifier: NCT05426616.",
40702480,10.1186/s12903-025-06560-8,Patient-reported outcome measures comparing povidone iodine rinse and chlorhexidine rinse for dental implant therapy: a randomized controlled trial.,BMC oral health,2025,"To evaluate patient-reported outcome measures (PROMs) of povidone-iodine rinse and chlorhexidine rinse for patients undergoing dental implant treatments, as well as their bacteriostatic efficacy. Patients needing implant or bone augmentation surgery were randomized into two groups: povidone-iodine(PVP-I) and chlorhexidine(CHX). On the first day after surgery, pain levels were assessed by Numerical Rating Scale (NRS) to compare the two mouthwashes. At two weeks post-surgery, wound healing was evaluated using the early wound healing index. Finally, patient-reported outcome measures (PROMs) were employed to compare each mouthwash's flavor, texture, and whether it caused irritation or mucosal staining. The significance of intergroup differences was tested using both an intention to treat and a per-protocol analysis. A total of 83 patients(with a median age of 43, 49 females) were enrolled and randomized. In general, both rinses were similarly favorable in terms of patient comfort. Notably, the postoperative pain NRS was significantly lower in the PVP-I group (1.68 ± 0.82) than in the control group (2.55 ± 1.38, p < 0.01). Regarding to wound healing, there was no significant difference in the Early Healing Index (EHI) between the two groups (Z = 0.351, p = 0.725). Regarding PROMs, at day 7, the swelling reduction was significantly greater in the PVP-I group (p = 0.031). Additionally, fewer participants in the PVP-I group (7%) reported mucosal irritation compared to the CHX group (29%) (p < 0.05), while other PROMs showed no significant differences in both groups. Within the scope of this trial, PVP-I rinse demonstrated superior patient comfort (significantly lower postoperative pain intensity, less mucosal irritation, and greater swelling reduction at day 7) compared to CHX rinse, though both rinses showed comparable wound healing outcomes. PVP-I may serve as an alternative for dental implant therapy, but all mouthrinses should be used judiciously under clinical guidance. The study protocol was registered at Chinese Clinical Trial Registry ( www.chictr.org.cn ) under registration number ChiCTR2500098491 on 10/03/2025 (retrospectively registered).",
40604796,10.1186/s12903-025-05529-x,Investigation of the expression of the C-terminal cross-linking telopeptide of type I collagen (CTXI) in saliva during early and delayed loading of dental implants.,BMC oral health,2025,"Implants are commonly used as a treatment choice for partially dentate or edentulous patients. Currently, no specific biomarker for assessing the bone status around dental implants of healthy patients has been reported for evaluating bone deposition, resorption, or stability. CTXI (C-terminal telopeptide of type I collagen) is a known specific biomarker for bone resorption. However, CTXI levels in the saliva of healthy patients with dental implants have not been investigated. This randomized controlled trial aimed to evaluate salivary CTXI levels in dental implant patients with early and delayed loading and to compare them with the values of the periotest to determine implant stability and loading time. This study was conducted in Karachi, Pakistan, and included 40 patients with dental implants placed in the posterior mandible. Patients were randomly divided into two groups based on the timing of implant loading: an early loading group, where implants were functionally loaded within 1 month of placement, and a delayed loading group, where implants were loaded after 3 months. The intervention involved functional loading of the implants according to the assigned group. Implant stability was assessed using a periotest on the day of surgery and at 1 month or 3 months, depending on the group. Additionally, saliva samples were collected from all patients at 1 month and 3 months to evaluate CTXI expression levels using sandwich ELISA. A comparison by periotest showed that dental implants were stable in the early loading group and that osseointegration was good; thus, loading could be applied within one month of dental implant placement. However, in our study, the CTXI bone turnover marker was not detected in any group and thus cannot be used to indicate bone implant stability or loading time. This study demonstrates that early loading of dental implants can achieve stability and osseointegration within one month, as confirmed by Periotest measurements. However, salivary CTXI levels were undetectable in both early and delayed loading groups, indicating that this biomarker is unsuitable for assessing bone-implant stability or determining the optimal timing for implant loading in healthy patients. These findings suggest further research to explore alternative biomarkers for non-invasive osseointegration and implant stability monitoring. Retrospectively registered, ID: NCT06246097, Date of registration: 07/02/2024, ( https://clinicaltrials.gov/ct2/show/NCT06246097 ).",
40598042,10.1186/s12903-025-06330-6,Evaluation of the bone structure surrounding photofunctionalized implants using the fractal analysis method: a split-mouth randomized clinical study.,BMC oral health,2025,Implant failure may necessitate another surgical procedure to improve implant survival. Photofunctionalization(PF) with UV light is a promising method to enhance dental implant osseointegration. The study evaluates the effect of the PF on bone quality around the implants using Fractal Dimension Analysis (FDA). A total of 42 implants were placed in a split-mouth design and evaluated using FDA on panoramic radiographs taken pre- and post-operatively. Regions of interest (25 × 25 pixels) were analyzed using ImageJ. Statistical analysis used SPSS 26 with a 95% confidence level. Shapiro-Wilk test confirmed non-normal distribution. A statistically significant increase in Fractal dimension(FD) values was observed in the test group between pre- and post-operative images (p = 0.044). The control group showed a non-significant increase (p = 0.794). PF appears to enhance osseointegration by improving bone microstructure as shown by increased FD values. FDA is a reliable imaging-based proxy for evaluating implant-related bone changes. Current Controlled Trials NCT06821932 (Retrospectively registered) ( https://clinicaltrials.gov/study/NCT06821932 /2025-02-11).,
