SEARCH QUERY,"('polycystic ovary syndrome':ti,ab OR 'pcos':ti,ab) AND ('herbal':ti,ab OR 'chinese med*':ti,ab) AND 'rando*':ti,ab",,,,,,,,
-------------------------------------,,,,,,,,,
,,,,,,,,,
Title,Author Names,Abstract,CAS Registry Numbers,Molecular Sequence Numbers,DOI,Full Text Link,Embase Link,Open URL Link,Copyright
Woxuanzhongzhou formula improves DHEAS and high-fat diet-induced IR and anovulatory mice via AMPK/PGC1- α/Irisin pathway,"Liu H., Wang G., Sui C., Guo Y., He X.","Background: Polycystic ovary syndrome (PCOS) is a common endocrine and metabolic disorder in women of reproductive age. Anovulation is one of the most important clinical features of PCOS, and insulin resistance (IR) is one of the critical pathogenic factors. Woxuanzhongzhou (WXZZ) is a traditional herbal formulation that has shown efficacy in treating PCOS combined with IR, but the underlying mechanism is not clear. The aim of this study was to investigate the molecular mechanism of WXZZ on dehydroepiandrosterone sulfate and high fat diet induced PCOS with IR mice. Methods: 40 female C57BL/6 mice were randomized to 4 groups: control group, model group, metformin group, and WXZZ group. Some mice is induced by dehydroepiandrosterone sulfate (DHEA) and high-fat diet (HFD) for 3 weeks. Following model induction, metformin and WXZZ were administered by gavage. Body weight, fasting blood glucose (FBG), fasting insulin (FINS) levels, the homeostatic model assessment of insulin resistance (HOMA-IR), and gonadal hormones were measured. Estrous cycles were monitored. The structure of the gastrocnemius muscle and subcutaneous fatty tissue were also evaluated. Additionally, serum irisin and non-esterified fatty acids (NEAF) levels and the protein and gene expression levels of AMPK, PGC1-α, FNDC5, irisin in the gastrocnemius muscle and CaMKK, AMPK, PGC1-α, UCP1 in fat were analyzed. Results: The DHEA + HFD + WXZZ group exhibited significant improvements in several key parameters compared to the DHEA + HFD group. WXZZ ameliorated endocrine and metabolic disorders, resumed estrous cycle in DHEAS and high-fat diet-induced IR and anovulatory mice. Significant reductions were observed in body weight, serum testosterone, luteinizing hormone, luteinizing hormone/ follicle-stimulating hormone ratio, FINS, and HOMA-IR. Additionally, WXZZ promoted irisin expression and secretion by up-regulating the protein and gene AMPK/PGC1-α/FNDC5 expression in gastrocnemius muscle and up-regulated the protein and gene CaMKK/AMPK/PGC1-α/UCP1 expression in fat. WXZZ inhibited the overproduction of serum NEFA, and reduced lipid accumulation. Structural analysis of the gastrocnemius muscle and adipose tissue revealed partial restoration. Conclusion: WXZZ exhibits therapeutic effects in DHEAS and high-fat diet-induced IR and anovulatory mice. These effects may be mediated through the activation of AMPK/PGC1-α pathway in muscle to promote the secretion of irisin.","fibronectin (86088-83-7), follitropin (9002-68-0), glucose (50-99-7, 84778-64-3, 8027-56-3), hydroxymethylglutaryl coenzyme A reductase kinase (172522-01-9, 72060-32-3), insulin (9004-10-8), luteinizing hormone (39341-83-8, 9002-67-9), metformin (1115-70-4, 657-24-9), prasterone sulfate (651-48-9), testosterone (58-22-0)",,10.1186/s13048-025-01587-5,http://dx.doi.org/10.1186/s13048-025-01587-5,https://www.embase.com/search/results?subaction=viewrecord&id=L2033127945&from=export,,"Copyright 2025 Elsevier B.V., All rights reserved."
Pharmacological and Non-Pharmacological Interventions for Polycystic Ovary Syndrome (PCOS) in Indian Women: A Systematic Review and Meta-Analysis,"Maan P., Gautam R., Vasudevan S., Menon G.R., Arora A., Nair A., Jabbar P.K., Arora T.","Background: Polycystic ovary syndrome (PCOS) is an endocrine disorder prevalent in women of reproductive age. Treatment or management of this syndrome includes several pharmacological and non-pharmacological treatment approaches for different manifestations of the disease that vary with the patient?�s age, symptoms, requirements, and geographical location. Objective: This systematic review aims to conduct a comprehensive and evidence-based analysis of the various available treatment options and identify knowledge gaps in PCOS management in India. Methods: A comprehensive search was conducted in PubMed, Scopus, and Embase databases from January 2010 till February 2024. We included randomized control trials (RCTs) using any pharmacological drugs (e.g., insulin sensitizers, anti-androgens, anti-obesity drugs, oral contraceptive pills, ovulation induction drugs, etc.) or non-pharmacological intervention (e.g., yoga, diet, herbal supplements, etc.) with Indian PCOS patients for improving common manifestations of PCOS and written in the English language. Studies were screened by two authors independently in a two-level process. Data extraction was also performed by two authors. Risk of bias was performed using the RoB 2 Tool. Subgroup analysis and meta-analysis were performed using the RevMan tool. Results: Thirty RCTs on pharmacological and eight on non-pharmacological interventions were included in the study. However, all the RCTs were so heterogeneous in terms of intervention used, subject recruited, and outcomes measured that meta-analysis was possible for only three subgroups (metformin vs. inositol, metformin vs. metformin+ inositol, and letrozole vs. clomiphene citrate), with only two or three studies per analysis. Most studies were single-centric and small-sized and had a high risk of bias, limiting their generalizability. Conclusions: This systematic review synthesized existing research and evaluated the effectiveness and safety of existing treatments. Limitations and gaps in the current research were identified, which may inform future research for better understanding and management of PCOS in the Indian context.","atorvastatin (134523-00-5, 134523-03-8, 110862-48-1), clomifene citrate (50-41-9), empagliflozin (864070-44-0), inositol (55608-27-0, 6917-35-7, 87-89-8), letrozole (112809-51-5), metformin (1115-70-4, 657-24-9), naltrexone (16590-41-3, 16676-29-2), orlistat (96829-58-2), rimonabant (158681-13-1, 168273-06-1), sibutramine (106650-56-0), sitagliptin (486460-32-6, 654671-78-0, 654671-77-9, 486459-71-6, 2088771-60-0)",,10.3390/ph18050680,http://dx.doi.org/10.3390/ph18050680,https://www.embase.com/search/results?subaction=viewrecord&id=L2034731501&from=export,,"Copyright 2025 Elsevier B.V., All rights reserved."
"COMPARATIVE STUDY ON SAFETY AND EFFICACY OF THE DECOCTIONS OF SESAMUM INDICUM, NIGELLA SATIVA AND ITS COMBINATION ON POLYCYSTIC OVARY SYNDROME","Deepthika S.H.K., Karunagoda K.P.K.R., Perera P.K.","This study investigated the efficacy and safety of three herbal decoctions for managing Polycystic Ovary Syndrome (PCOS), a condition affecting 2-26% of women globally and considered incurable within allopathic medicine and offers symptomatic treatments. This randomized, single-blind clinical trial, conducted between February 2022 and June 2024, enrolled 90 PCOS patients diagnosed by the Rotterdam (2003) criteria. Participants were randomly allocated into three intervention groups: Nigella sativa (Arm I), Sesamum indicum (Arm II), and a combination of both (Arm III). Each group received 30 ml of the assigned decoction twice daily over three months. Clinical parameters were assessed using established grading scales, including androgenic alopecia, hirsutism, acne, and acanthosis nigricans. Additionally, ultrasound scans (USS) were performed pre- and post-treatment to evaluate changes in ovarian morphology. Results indicated a significant reduction in ovarian volume for Arms I (P=0.029) and II (P=0.008) and an increase in follicle size across all three arms. The number of participants with polycystic ovarian morphology significantly decreased in Arm I (P=0.016) and II (P=0.004). However, one-way ANOVA revealed no statistically significant differences between the three groups regarding subjective clinical symptoms or objective ultrasound parameters. The study concludes that all three interventions effectively regulate menstruation and enhance follicular maturity. Among the three, the combined therapy of Nigella sativa and Sesamum indicum (Arm III) demonstrated the most pronounced benefits. These findings suggest that Nigella sativa and Sesamum indicum, individually or in combination, hold potential as therapeutic options for PCOS management without any side effects.",,,10.13040/IJPSR.0975-8232.16(5).1300-07,http://dx.doi.org/10.13040/IJPSR.0975-8232.16(5).1300-07,https://www.embase.com/search/results?subaction=viewrecord&id=L2038543053&from=export,,"Copyright 2025 Elsevier B.V., All rights reserved."
A diagnostic model for polycystic ovary syndrome based on machine learning,"Tong C., Wu Y., Zhuang Z., Yu Y.","Diagnosis of polycystic ovary syndrome remains a challenge. In this study, we propose constructing a diagnostic model of polycystic ovary syndrome by combining anti-Müllerian hormone with steroid hormones and oestrogens, with the aim of providing more bases and auxiliary means for the diagnosis of this disease. 1. Eighty-four samples from patients who were diagnosed with polycystic ovary syndrome at the First Affiliated Hospital of Zhejiang Chinese Medical University from May 2023 to November 2023 were collected as the case group, and 75 samples from the healthy population of the Health Screening Centre of the First Affiliated Hospital of Zhejiang Chinese Medical University during the same period were collected as the control group. 2. General information (including age, BMI, family history, medication history, etc.) and sex hormone data (including luteinising hormone, follicle stimulating hormone, prolactin, estradiol, testosterone, etc.) were collected from all study subjects. AMH and steroid hormone tests were performed on serum collected from all study subjects. 3. The data of 10 case groups and 10 control groups were randomly selected as validation set data, and the rest of the data were included in the model construction. The acquired data were screened for variables, a classification model based on a machine learning algorithm was constructed, and the constructed model was evaluated and validated for diagnostic efficacy. Ultimately, a total of 8 variables were screened and included in the subsequent model construction, namely LH, LH/FSH, E2, PRL, T, AMH, AD, and COR, with AMH having the highest diagnostic potential among all the variables included in the model. A total of five machine learning models were constructed, the logistic classification model has the best overall performance, and the support vector machine has the weakest overall performance. The validation set has an AUC of 0.86 for the model. In this study, five classification models based on machine learning algorithms were successfully constructed. Combining the evaluation metrics of each model performance, we concluded that the logistic classification model had the best performance capability in our study. However, since this study is a single-center small sample size study, some metabolic features of PCOS may be overlooked, and, as the validation set data in this study come from the same center as the modelling data, the validation results may have several limitations, so it is still necessary to expand the sample size and collect multicenter data to establish an external validation dataset to further improve the study.","follitropin (9002-68-0), luteinizing hormone (39341-83-8, 9002-67-9), Muellerian inhibiting factor (80497-65-0), testosterone (58-22-0)",,10.1038/s41598-025-92630-4,http://dx.doi.org/10.1038/s41598-025-92630-4,https://www.embase.com/search/results?subaction=viewrecord&id=L646970005&from=export,,"This record is sourced from MEDLINE/PubMed, a database of the U.S. National Library of Medicine"
Systematic review and meta-analysis of animal experiments on Bushen formulas for the treatment of polycystic ovary syndrome,"Cui Y., Zhang C., Li X., Cui Y., Gao L., Wang P.","The treatment of polycystic ovary syndrome (PCOS) with Bushen traditional Chinese medicine has a long history. Every year, there are animal experiments on Bushen formulas for the treatment of PCOS. The evidence from these preclinical studies is still unclear. This study summarizes and evaluates the animal experimental results of Bushen formulas in the treatment of PCOS. To explore the effects of using Bushen formulas to treat animal models of PCOS on body weight, sexual disorders and insulin resistance. As of 9 October 2023, this review made a detailed search of eight databases to look for random controlled trials (RCTs) focused on the use of Bushen formulas in PCOS animal models. Conduct a systematic review and meta-analysis of the included literature. Screening of the literature was performed independently, and data were extracted and assessed. A meta-analysis was performed using RevMan 5.4 software. Compared with the model group, the animals treated with Bushen formulas showed a decrease in ovarian mass (MD = - 1.01, 95% CI = [- 1.5, - 0.52], P < 0.0001), testosterone (T) level (MD = - 2.57, 95% CI = [- 2.91, - 2.23], P < 0.00001), body weight (MD = - 22.07, 95% CI = [- 31.12, - 13.03], P < 0.00001), luteinizing hormone (LH) level (MD = - 1.43, 95% CI = [- 1.79, - 1.08], P < 0.00001), and homeostasis model assessment of insulin resistance (HOMA-IR) level (MD = - 3.26, 95% CI = [- 4.5]). - 2.02%, P < 0.00001), and an increase in follicle-stimulating hormone (FSH) level (MD = 0.96, 95% CI = [0.61, 1.30], P < 0.00001). The use of Bushen formulas can reduce ovarian mass, testosterone, body weight, LH, HOMA-IR, increase FSH in animal models, and improve symptoms related to polycystic ovary syndrome. However, the heterogeneities between studies are too high, therefore, we need to further investigate their potential mechanisms in order to guide clinical medication better.","follitropin (9002-68-0), luteinizing hormone (39341-83-8, 9002-67-9), testosterone (58-22-0)",,10.1038/s41598-025-89725-3,http://dx.doi.org/10.1038/s41598-025-89725-3,https://www.embase.com/search/results?subaction=viewrecord&id=L646732076&from=export,,"This record is sourced from MEDLINE/PubMed, a database of the U.S. National Library of Medicine"
Effects of Ningxin Shugan Decoction Combined with Antagonist Fixation Regimen on IVF-ET Outcomes and Serum Kisspeptin Expression in Infertility Patients with Polycystic Ovary Syndrome,"Feng H., Xu D., Hong X.",Objective: To investigate the effects of Ningxin Shugan decoction combined with an antagonist fixation regimen on in vitro fertilization and embryo transfer(IVF-ET)outcomes and serum kisspeptin expression in infertility patients with polycystic ovary syndrome. Methods:A total of 96 infertile patients with polycystic ovary syndrome treated in Yancheng No.1 People's Hospital and Yancheng Affiliated Hospital of Nanjing University of Chinese Medicine were enrolled in this study and randomized into control and observation groups(n=48). The control group was treated with an antagonist fixation regimen，and the observation group was treated with Ningxin Shugan decoction on the basis of the treatment in the control group. The clinical efficacy was compared between the two groups. The total score and single scores of TCM symptoms，ovulation promotion status，and serum levels of reproductive hormones，miR-335-5p，miR-141-3p，and kisspeptin were determined before and after treatment. The IVF-ET outcome indicators and treatment safety were evaluated. Pearson test was conducted to analyze the correlations of serum levels of follicle-stimulating hormone (FSH)�?kisspeptin�?miR-335-5p�?and miR-141-3p with IVF-ET outcomes. Results: The total response rate in the observation group was 90.91%，which was higher than that(70.45%)in the control group (P<0.05). The total score and single scores of TCM symptoms and the testosterone，luteinizing hormone(LH)，and LH/FSH levels declined after treatment(P<0.05)，and they were lower in the observation group than in the control group(P<0.05). After treatment，the serum levels of FSH，kisspeptin，miR-335-5p，and miR-141-3p rose in both groups，being higher in the observation group than in the control group(P<0.05). The observation group showed higher ovulation number，number of M ??oocytes，embryo implantation rate，clinical pregnancy rate，and live birth rate than the control group(P<0.05，P<0.01). Serum levels of FSH，kisspeptin，miR-335-5p，and miR-141-3p were positively correlated with embryo implantation rate，clinical pregnancy rate，and live birth rate(P<0.01). Conclusion: Ningxin Shugan decoction combined with the antagonist fixation regimen can improve the IVF-ET outcome，promote the serum kisspeptin expression，and increase the ovulation rate and pregnancy rate in infertility patients with polycystic ovary syndrome.,"follitropin (9002-68-0), luteinizing hormone (39341-83-8, 9002-67-9), testosterone (58-22-0)",,10.13422/j.cnki.syfjx.20250194,http://dx.doi.org/10.13422/j.cnki.syfjx.20250194,https://www.embase.com/search/results?subaction=viewrecord&id=L2037215340&from=export,,"Copyright 2025 Elsevier B.V., All rights reserved."
Improvement of endocrine and metabolic conditions in patients with polycystic ovary syndrome through acupuncture and its combined therapies: a systematic review and meta-analysis,"Wu T., Liu Y., Kong F., Hu J., Liu Y., Yang J., Chen J.","Background: Polycystic Ovary Syndrome (PCOS) is a common endocrine disorder among women of reproductive age that significantly impacts their reproductive health. Acupuncture and its combined therapies may have beneficial effects on the endocrine and metabolic states of women with PCOS. This systematic review and meta-analysis evaluated the treatment effects and potential mechanisms of acupuncture and its combined therapies compared to oral metformin in treating PCOS patients. Methods: The evaluation focused on three sets of outcomes: hormonal indicators, metabolic indicators, and body weight indicators. Studies that involved additional therapies beyond the specified interventions or included patients with other diseases were excluded. Additionally, data mining methods were used, including frequency statistics to analyze the frequency of acupuncture points and the meridians involved, and the Apriori algorithm to perform association rule analysis for the most effective interventions. Results: The study included 46 articles (51 studies) involving six interventions: acupuncture combined with metformin, acupuncture treatment, acupuncture with Chinese herbal medicine and metformin, acupuncture with Chinese herbal medicine, acupuncture combined with cupping, and auricular acupuncture combined with metformin showed significant improvements in all evaluated indicators. Data mining revealed the Stomach meridian of foot yangming was the most frequently used, and the most commonly used combination of points included CV4, SP6, and ST36. Conclusions: This study suggests that acupuncture and its combined therapies may benefit PCOS. However, risk of bias and heterogeneity observed were noted. Future high-quality, rigorously designed randomized controlled trials are needed to confirm these findings and provide stronger clinical recommendations for acupuncture in PCOS treatment.","follitropin (9002-68-0), glucose (50-99-7, 84778-64-3, 8027-56-3), insulin (9004-10-8), luteinizing hormone (39341-83-8, 9002-67-9), metformin (1115-70-4, 657-24-9)",,10.1080/07853890.2025.2477295,http://dx.doi.org/10.1080/07853890.2025.2477295,https://www.embase.com/search/results?subaction=viewrecord&id=L2033679851&from=export,,"Copyright 2025 Elsevier B.V., All rights reserved."
Phytotherapy in Polycystic Ovary Syndrome (PCOS) Management: A Systematic Review,"Mohamed S.S., Allam A.T., El-Alfy A.N., El-Shiekh R.A., Reda A.M., Abd El Hafeez M.S.","Polycystic ovary syndrome (PCOS) is a prevalent medical condition that encompasses both metabolic and reproductive disorders. Various pharmaceutical interventions have been proposed for managing PCOS; however, the potential side effects associated with long-term use and their often-limited efficacy have prompted interest in complementary and alternative therapies. Recent studies indicate a growing trend toward the utilization of these alternative treatments. Medicinal herbs have historically been employed to address gynecological and infertility issues in individuals with PCOS. This study aims to systematically review the herbal remedies utilized for PCOS on a global scale. A comprehensive search was conducted across several databases, focusing on clinical trials, especially randomized controlled trials from 2010 to 2024. The findings from numerous studies suggest that a diverse array of herbal medicines may enhance various aspects of PCOS management. Certain plants are recognized as natural remedies that could positively impact different dimensions of the syndrome; nevertheless, further research is essential to elucidate their mechanisms of action and ensure their safety for long-term use.",,,10.1002/cbdv.202500982,http://dx.doi.org/10.1002/cbdv.202500982,https://www.embase.com/search/results?subaction=viewrecord&id=L2035278515&from=export,,"Copyright 2025 Elsevier B.V., All rights reserved."
Nonpharmacological mental health interventions for adolescent patients with polycystic ovary syndrome: a scoping review,"Zheng T., Li J., Chao J., Wang H.L., Hui Y., Shen L.","OBJECTIVES: This study aimed to summarize nonpharmacological mental health interventions that are beneficial for adolescent patients with polycystic ovary syndrome (PCOS) and to identify the limitations of existing studies. MATERIAL AND METHODS: Following the recommendations of the recommendations of the Preferred Reporting Items for Systematic Reviews and Meta-Analyses Extension for Scoping Reviews (PRISMA-SCR), we conducted a scoping review of nonpharmacological interventions aimed at improving mental health in adolescents with PCOS. RESULTS: Six randomized controlled trials (RCTs), two quasiexperimental studies, two case reports, one prospective study, one predictive correlation study, and one field trial study were included, resulting in 13 articles. Nonpharmacological interventions encompass a range of psychotherapies, dietary modifications, physical exercise, and traditional Chinese medicine therapies. Except for one study that has not yet reported findings, all included studies reported significant improvements in patients' mental health through nonpharmacological interventions. CONCLUSIONS: The evidence summarized in this study suggests that nonpharmacological interventions may be efficacious in improving the mental well-being of adolescent patients with PCOS. However, existing studies have limitations, including small sample sizes, the limited use of outcome indicators, and a lack of postintervention follow-up evaluations. Therefore, further RCTs should be conducted to validate the effectiveness and safety of current or alternative nonpharmacological interventions.",,,10.5603/gpl.102733,http://dx.doi.org/10.5603/gpl.102733,https://www.embase.com/search/results?subaction=viewrecord&id=L646789846&from=export,,"This record is sourced from MEDLINE/PubMed, a database of the U.S. National Library of Medicine"
Integrating East Asian Traditional Medicine into Assisted Reproductive Technology: A Systematic Review and Meta-Analysis,"Peng X., Wu B., Zhou S., Xu Y., Ogihara A., Nishimura S., Jin Q.","Background: Assisted reproductive technologies (ART) are essential for treating infertility but often face limited success due to issues like poor embryo implantation and low live birth rates. East Asian traditional medicine (EATM), including acupuncture and herbal medicine, may help address these challenges by improving physiological responses in ART cycles. Objective: To evaluate the effectiveness and safety of EATM, specifically acupuncture and herbal medicine, in enhancing clinical pregnancy and live birth outcomes for women undergoing ART. Primary Study Objective: To evaluate the effectiveness and safety of EATM, specifically acupuncture and herbal medicine, in enhancing clinical pregnancy and live birth outcomes for women undergoing ART. Methods/Design: This study, registered in PROSPERO (CRD42023411712), systematically searched 11 databases up to March 31, 2023. Randomized controlled trials comparing EATM interventions with control groups were included, with two authors independently extracting data and assessing methodological quality. Statistical methods such as meta-regression and subgroup analyses were used to explore heterogeneity. Meta-analysis was performed using the inverse-variance method in Stata 12.0. Setting: The trials analyzed took place in fertility clinics across various countries, predominantly in East Asia, with some trials from Europe and North America. Most were conducted in specialized reproductive health centers. Participants: A total of 10 776 participants (aged 29-38) from 37 randomized controlled trials. Participants included women with various infertility issues, including polycystic ovary syndrome (PCOS), bilateral tubal blockage, diminished ovarian reserve and unexplained infertility. Intervention: Acupuncture therapies included classic body acupuncture, electro-acupuncture, laser acupuncture, and auricular acupuncture. Herbal treatments included powders, pills, granules, decoctions, and ointments derived from traditional Chinese herbal formulas such as Zishen Yutai Pills and Liuwei Dihuang Granule. Primary Outcome Measures: The primary outcomes were clinical pregnancy rates (as confirmed by ultrasound) and live birth rates (defined as delivery of a living child). Secondary outcomes included embryo implantation rates (measured by ultrasound) and the incidence of adverse events. Results: EATM interventions significantly improved clinical pregnancy rates (CPR) (Risk Ratio [RR] 1.316, 95% CI 1.171-1.480) and live birth rates (LBR) (RR 1.287, 95% CI 1.081-1.533). Herbal medicine also enhanced CPR (RR 1.184, 95% CI 1.017-1.379) and LBR (RR 1.147, 95% CI 1.010-1.303). Subgroup analyses showed true acupuncture was more effective than sham acupuncture for CPR (RR 1.218, 95% CI 1.019-1.455), while herbal medicine outperformed placebo in CPR improvement (RR 1.211, 95% CI 1.071-1.370). No significant differences were observed in adverse events (AEs) or dropout rates, indicating the interventions' safety. Conclusions: EATM, particularly acupuncture and herbal medicine, shows promise as a complementary therapy to improve pregnancy and live birth outcomes in ART. These findings suggest potential clinical benefits in incorporating EATM into fertility treatments, though further research is warranted to optimize protocols and confirm long-term effects.",,,,,https://www.embase.com/search/results?subaction=viewrecord&id=L645855196&from=export,,"This record is sourced from MEDLINE/PubMed, a database of the U.S. National Library of Medicine"
